,Mutual_Info_Score,ANOVA_Score,Chi2_Score,RF_Importance,RFE_Rank,RFE_Selected,Selection_Frequency
tfidf_arrived,0.007870115347913265,29.22808331139745,,0.00805179645093017,1,True,1
tfidf_how,0.010828558251024578,291.2879807217577,,0.005556101668655281,1,True,1
Ticket_Weekday,0.007461335785504501,,169.42129925403336,0.005977939854956213,13,False,1
Age_Group,4.299545539947214e-05,,0.015251410736793588,0.0032056648043673097,13,False,1
Rating_Imputed_Flag,0.004454909375842586,62.327636224764184,,0.006224167968215804,1,True,1
tfidf_what,0.0018976902749285873,7.305789092889879,,0.00453222086306528,1,True,1
tfidf_update,0.0008715792362243846,0.6379190731223516,,0.00350579991208421,1,True,1
Average_Word_Length,0.005639346404826551,34.814619571933974,,0.018339789451916094,8,False,1
tfidf_purchase,0.010175009814925362,212.27180106431172,,0.006818228080175348,1,True,1
tfidf_it,0.00835178810920012,0.8612791980841259,,0.009682914138346257,1,True,1
tfidf_shipping,0.0048695092094503956,41.280435687534,,0.004563202107341861,1,True,1
tfidf_this,0.038142510339780555,23.362245335572894,,0.01513893721836701,8,False,1
tfidf_recommend,0.0065888379521548135,0.259650836026526,,0.004114707154913858,1,True,1
tfidf_out,0.006239787024535426,5.086692339446802,,0.0051470309558730104,1,True,1
tfidf_performance,0.00016158850963576832,47.95400038558278,,0.0037967709330557152,1,True,1
tfidf_issues,0.0034943411996863905,293.3078760499349,,0.006419778368037998,1,True,1
Review_Length_Category,0.0011627675031461032,,2.1484025361853964,0.0027806568740834942,6,False,1
tfidf_im,0.009513208709066134,11.136796462953257,,0.006757677983838671,1,True,1
Total_Spent,0.002662082115164388,0.00602220819206308,,0.011659074261721759,12,False,0
Age,0.0008716657591834043,0.046485175993727375,,0.010571713762145031,9,False,0
Purchase_Count,0.0035874462699119203,0.06518816805880816,,0.007813519593298002,14,False,0
tfidf_for,0.021081026917186385,100.72456826507376,,0.010438364996989314,8,False,0
tfidf_didnt,0.00203626850614258,3.7437010658033434,,0.0040843540701204035,7,False,0
Punctuation_Count,0.008886925586901517,64.16518212083189,,0.008222936094165986,6,False,0
Digit_Count,0.00014077204180873437,0.004383475336917879,,0.00010707974942043902,5,False,0
Ticket_Year,0.0,1.7227814875465977,,0.0025386418821634303,14,False,0
Is_Weekend,0.0,1.6228441318916125,,0.0010029151676020115,7,False,0
Ticket_Day,0.002341914539514489,0.19510388009786206,,0.008153905000520644,6,False,0
Spending_Per_Complaint,0.009956188532744159,145.95266087012266,,0.012115886012875327,11,False,0
Response_Time_Hours,0.003933491589063642,0.5356809177120071,,0.010511629226267067,13,False,0
Ticket_Month,0.0035412112321164813,0.5824235945136886,,0.006233172195206749,10,False,0
tfidf_in,0.0,39.553843976043765,,0.009416866708128135,3,False,0
tfidf_my,0.009363642552586482,115.62768189899896,,0.00890973883708358,3,False,0
tfidf_others,0.004126374375238662,3.479262847372229,,0.007832942697225884,9,False,0
tfidf_replacement,0.0009686301558109456,3.028922374266927,,0.004865687477704677,9,False,0
tfidf_was,0.017301454866348154,8.654364310040583,,0.009287341694901089,7,False,0
tfidf_will,0.003951795253583024,0.1345091634663379,,0.0058493052296036165,4,False,0
